age;job;marital;education;default;housing;loan
46;housemaid;married;primary;no;no;no
39;management;married;tertiary;no;yes;yes
40;unemployed;married;secondary;no;yes;no
28;blue-collar;married;primary;no;yes;no
35;entrepreneur;divorced;secondary;no;yes;no
55;retired;married;secondary;no;no;yes
43;technician;divorced;unknown;no;yes;no
48;blue-collar;married;primary;no;yes;no
58;management;married;unknown;no;yes;no
33;management;single;tertiary;no;yes;no
36;blue-collar;married;unknown;no;no;no
53;services;divorced;secondary;no;yes;no
47;blue-collar;married;primary;no;yes;no
31;services;married;secondary;no;yes;no
57;entrepreneur;married;secondary;no;yes;no
53;blue-collar;married;unknown;no;no;no
55;blue-collar;married;primary;no;yes;no
45;blue-collar;married;primary;no;yes;no
53;admin.;divorced;secondary;no;yes;no
37;blue-collar;married;primary;no;yes;no
44;admin.;divorced;secondary;no;yes;no
49;blue-collar;divorced;primary;no;yes;yes
46;technician;married;secondary;no;yes;yes
43;entrepreneur;married;unknown;no;yes;no
38;admin.;married;secondary;no;no;no
43;technician;married;secondary;no;yes;no
49;management;married;tertiary;no;yes;no
42;management;married;unknown;no;no;no
22;blue-collar;single;secondary;no;yes;no
40;management;married;tertiary;no;yes;no
39;blue-collar;married;secondary;no;yes;no
51;services;married;secondary;no;yes;no
49;admin.;married;secondary;no;yes;no
53;blue-collar;married;secondary;no;yes;yes
34;services;single;secondary;no;yes;no
33;technician;divorced;secondary;no;yes;no
50;management;single;tertiary;no;yes;no
39;blue-collar;married;primary;no;yes;no
59;entrepreneur;divorced;secondary;no;yes;no
30;technician;single;secondary;no;yes;no
36;services;married;secondary;no;yes;yes
40;blue-collar;married;secondary;no;yes;no
53;blue-collar;married;secondary;no;yes;no
34;management;single;tertiary;no;yes;no
37;technician;married;secondary;no;yes;no
42;management;divorced;tertiary;no;yes;no
41;entrepreneur;married;primary;no;yes;no
30;student;single;tertiary;no;yes;no
37;management;single;tertiary;no;yes;no
39;admin.;divorced;secondary;no;yes;no
41;blue-collar;married;primary;no;yes;yes
40;blue-collar;married;primary;no;yes;no
42;management;single;tertiary;no;yes;yes
40;blue-collar;divorced;primary;no;yes;no
57;technician;married;secondary;no;yes;no
56;entrepreneur;divorced;secondary;no;no;no
37;admin.;married;secondary;no;yes;no
59;retired;married;secondary;no;yes;no
39;services;divorced;secondary;no;yes;no
49;services;married;secondary;no;no;no
38;services;single;secondary;no;yes;no
36;self-employed;married;tertiary;no;no;no
50;blue-collar;married;primary;no;yes;no
41;admin.;married;secondary;no;yes;yes
54;technician;married;tertiary;no;no;no
58;blue-collar;married;primary;no;yes;no
30;blue-collar;single;secondary;no;yes;no
33;admin.;single;secondary;no;yes;no
47;admin.;married;secondary;no;yes;no
50;technician;single;tertiary;no;yes;no
32;blue-collar;married;secondary;no;yes;no
40;self-employed;married;secondary;no;yes;no
37;management;married;tertiary;no;yes;no
54;technician;single;unknown;no;yes;no
24;student;single;secondary;no;yes;no
54;management;married;tertiary;no;no;no
34;technician;married;secondary;no;yes;no
56;technician;divorced;primary;no;yes;no
31;blue-collar;single;secondary;no;yes;no
24;student;single;secondary;no;yes;no
42;blue-collar;divorced;primary;no;yes;no
57;technician;married;secondary;no;yes;no
42;blue-collar;married;unknown;no;yes;no
51;admin.;married;secondary;no;yes;no
57;retired;married;secondary;no;yes;no
36;services;single;secondary;no;yes;no
53;services;married;unknown;no;yes;no
50;technician;married;secondary;no;yes;no
54;management;married;tertiary;no;yes;no
55;blue-collar;married;secondary;no;yes;no
44;blue-collar;married;secondary;no;yes;yes
43;management;married;unknown;no;yes;no
56;admin.;married;secondary;no;yes;no
54;technician;married;unknown;no;yes;no
55;services;divorced;primary;no;yes;yes
37;services;divorced;secondary;no;yes;yes
33;admin.;single;tertiary;no;no;no
46;admin.;married;secondary;no;yes;no
36;blue-collar;married;secondary;no;yes;yes
51;technician;single;secondary;no;yes;no
40;retired;single;primary;no;no;no
42;blue-collar;married;secondary;no;yes;no
51;blue-collar;married;secondary;no;yes;no
49;blue-collar;married;unknown;no;yes;no
48;management;married;secondary;no;yes;no
32;technician;divorced;tertiary;no;no;no
31;admin.;single;secondary;no;yes;no
55;management;single;tertiary;no;no;no
40;blue-collar;single;secondary;no;yes;no
47;technician;married;tertiary;no;yes;no
57;technician;married;unknown;no;yes;no
41;blue-collar;married;secondary;no;yes;no
48;blue-collar;married;secondary;no;no;no
42;blue-collar;married;unknown;no;yes;no
30;blue-collar;single;secondary;no;yes;no
58;management;single;tertiary;no;yes;no
45;management;divorced;tertiary;no;yes;no
49;blue-collar;married;secondary;no;yes;no
42;admin.;single;secondary;no;yes;no
53;technician;married;secondary;no;yes;yes
51;admin.;single;secondary;yes;no;no
32;services;single;secondary;no;yes;no
41;blue-collar;single;secondary;no;yes;no
43;management;divorced;secondary;no;yes;no
40;blue-collar;divorced;secondary;no;yes;no
50;blue-collar;married;primary;no;yes;no
34;management;married;tertiary;no;yes;no
53;services;married;unknown;no;no;no
45;technician;married;secondary;no;yes;no
39;blue-collar;married;primary;no;yes;no
44;services;married;tertiary;no;yes;no
55;management;married;tertiary;no;yes;no
46;management;single;tertiary;no;yes;no
45;blue-collar;married;secondary;no;yes;no
34;admin.;married;secondary;no;yes;no
36;blue-collar;married;secondary;no;yes;no
59;unknown;divorced;unknown;no;no;no
31;admin.;single;secondary;no;yes;no
44;blue-collar;single;secondary;no;yes;no
33;entrepreneur;single;tertiary;no;yes;no
40;blue-collar;married;secondary;no;yes;no
46;admin.;single;tertiary;no;yes;no
48;management;married;tertiary;no;yes;no
42;services;married;secondary;no;yes;no
27;services;married;secondary;no;yes;no
48;admin.;married;secondary;no;yes;yes
59;admin.;married;secondary;no;yes;no
46;technician;married;tertiary;no;yes;no
38;admin.;divorced;secondary;no;yes;no
43;management;divorced;tertiary;no;yes;no
38;admin.;divorced;tertiary;no;yes;no
23;student;single;secondary;no;yes;no
34;services;married;secondary;no;yes;no
38;admin.;married;secondary;no;yes;yes
37;blue-collar;married;secondary;no;no;no
25;admin.;single;secondary;no;yes;no
48;blue-collar;married;unknown;no;yes;no
49;blue-collar;single;secondary;no;yes;no
38;admin.;single;secondary;no;no;no
43;blue-collar;married;primary;no;yes;no
33;management;married;tertiary;no;yes;no
55;blue-collar;married;secondary;no;yes;no
38;blue-collar;married;secondary;no;yes;no
49;services;married;secondary;no;yes;yes
40;management;married;secondary;no;no;no
43;admin.;married;unknown;no;no;no
38;blue-collar;married;secondary;no;yes;no
58;services;married;secondary;no;yes;yes
57;technician;married;unknown;no;yes;no
32;unemployed;married;secondary;no;yes;no
56;management;married;tertiary;no;yes;yes
58;blue-collar;divorced;unknown;no;yes;no
60;retired;divorced;secondary;no;yes;no
37;technician;married;tertiary;no;yes;no
46;technician;divorced;tertiary;no;yes;no
27;admin.;married;secondary;no;yes;no
43;blue-collar;married;secondary;no;yes;no
32;technician;single;secondary;no;yes;yes
40;admin.;single;secondary;no;yes;no
38;admin.;married;secondary;no;no;no
34;blue-collar;married;secondary;no;no;yes
47;blue-collar;married;primary;no;yes;no
42;housemaid;married;primary;no;yes;no
48;technician;married;secondary;no;yes;yes
29;self-employed;single;tertiary;no;yes;no
50;services;married;secondary;no;yes;no
52;technician;married;unknown;no;no;no
50;management;married;tertiary;no;no;no
58;retired;married;tertiary;no;no;no
46;blue-collar;divorced;primary;no;yes;no
38;technician;married;secondary;no;yes;no
46;blue-collar;married;secondary;no;yes;no
32;services;single;secondary;no;yes;no
51;blue-collar;married;primary;no;yes;no
39;admin.;single;secondary;no;yes;no
48;admin.;married;secondary;no;yes;no
36;entrepreneur;married;tertiary;no;yes;no
34;admin.;divorced;secondary;no;yes;no
40;technician;married;secondary;no;no;no
43;unemployed;married;secondary;no;yes;no
52;blue-collar;divorced;primary;no;yes;yes
33;technician;married;secondary;yes;yes;no
49;management;single;tertiary;no;yes;no
32;management;single;tertiary;no;yes;no
39;admin.;single;secondary;no;yes;no
40;blue-collar;married;secondary;no;yes;no
38;technician;single;tertiary;no;yes;no
43;management;married;secondary;no;yes;no
39;services;married;secondary;no;yes;no
54;blue-collar;married;primary;no;yes;no
38;technician;single;tertiary;no;yes;no
40;blue-collar;married;secondary;no;yes;no
55;admin.;married;secondary;no;yes;no
42;management;married;tertiary;no;yes;no
39;blue-collar;married;secondary;no;yes;no
40;blue-collar;married;primary;no;yes;no
32;blue-collar;married;secondary;no;yes;no
55;admin.;married;secondary;no;yes;no
45;blue-collar;married;secondary;no;no;no
35;management;single;tertiary;no;yes;no
58;technician;divorced;secondary;no;no;no
35;admin.;married;secondary;no;yes;no
49;services;married;primary;no;yes;no
34;technician;single;tertiary;no;yes;no
36;blue-collar;married;secondary;no;yes;no
24;self-employed;single;secondary;no;yes;no
34;technician;married;secondary;no;yes;no
51;admin.;divorced;secondary;no;yes;no
39;technician;single;unknown;no;yes;no
50;self-employed;married;unknown;no;yes;no
32;services;single;secondary;no;yes;no
42;blue-collar;married;unknown;no;yes;no
50;technician;married;secondary;no;yes;no
40;services;married;secondary;no;no;no
46;management;divorced;unknown;no;yes;no
37;management;married;tertiary;no;yes;yes
34;blue-collar;married;secondary;no;yes;yes
44;blue-collar;married;secondary;no;yes;yes
40;admin.;single;secondary;no;yes;yes
37;technician;married;secondary;no;yes;no
33;blue-collar;single;secondary;yes;no;no
35;blue-collar;married;secondary;no;yes;no
58;blue-collar;divorced;secondary;no;no;no
39;blue-collar;married;primary;no;yes;no
43;blue-collar;married;secondary;no;yes;no
39;unemployed;married;primary;no;yes;no
36;services;single;primary;no;yes;no
57;retired;single;secondary;no;no;yes
36;admin.;single;secondary;no;yes;no
50;blue-collar;married;primary;no;yes;no
55;blue-collar;married;secondary;no;yes;no
44;self-employed;married;tertiary;no;yes;no
44;services;divorced;secondary;no;yes;no
39;housemaid;single;primary;no;yes;no
46;blue-collar;married;unknown;no;yes;no
39;blue-collar;married;secondary;no;yes;no
34;admin.;married;secondary;no;no;no
40;blue-collar;married;primary;no;yes;no
50;management;married;tertiary;no;yes;no
31;management;single;secondary;no;yes;no
37;admin.;single;secondary;no;yes;no
39;management;single;secondary;no;yes;no
51;blue-collar;married;primary;no;yes;no
41;technician;married;secondary;no;yes;no
41;technician;married;secondary;no;yes;yes
43;blue-collar;married;secondary;no;no;no
30;services;single;secondary;no;yes;no
54;management;divorced;primary;no;no;no
43;blue-collar;divorced;secondary;no;yes;yes
59;management;divorced;tertiary;no;yes;yes
47;technician;married;unknown;no;yes;no
40;blue-collar;married;primary;no;yes;no
32;technician;married;secondary;no;yes;no
29;blue-collar;married;secondary;no;yes;no
36;blue-collar;married;secondary;no;yes;no
55;unemployed;married;tertiary;no;no;no
30;blue-collar;divorced;secondary;no;yes;no
39;admin.;single;secondary;no;yes;no
39;blue-collar;divorced;secondary;no;yes;no
50;blue-collar;divorced;secondary;no;yes;no
44;blue-collar;married;secondary;no;yes;no
37;technician;single;secondary;no;yes;no
46;admin.;married;primary;no;yes;yes
32;technician;single;unknown;no;no;no
37;management;single;tertiary;no;yes;yes
29;blue-collar;married;secondary;no;yes;no
41;blue-collar;married;secondary;no;yes;no
45;blue-collar;married;primary;no;yes;no
57;retired;divorced;secondary;no;yes;no
48;blue-collar;single;secondary;no;yes;no
60;retired;married;secondary;yes;no;no
26;admin.;single;secondary;no;yes;no
58;retired;married;secondary;no;yes;no
34;admin.;married;secondary;no;yes;no
55;unemployed;divorced;secondary;no;yes;no
41;blue-collar;married;primary;no;yes;yes
50;management;divorced;secondary;no;yes;no
49;entrepreneur;married;secondary;no;yes;yes
44;admin.;married;unknown;no;no;yes
44;blue-collar;married;primary;no;yes;no
31;technician;married;secondary;no;yes;yes
34;blue-collar;single;tertiary;no;yes;no
46;management;single;unknown;no;yes;no
42;management;married;tertiary;no;no;no
52;admin.;married;secondary;no;yes;no
29;management;single;tertiary;no;yes;no
53;retired;married;primary;no;yes;no
43;blue-collar;married;secondary;no;yes;no
38;management;married;secondary;no;yes;no
46;management;married;tertiary;no;yes;no
48;management;divorced;unknown;no;yes;no
30;admin.;divorced;secondary;no;yes;yes
44;blue-collar;married;primary;no;no;no
31;housemaid;married;primary;no;yes;no
42;services;single;secondary;no;yes;no
40;management;single;tertiary;no;yes;no
52;admin.;married;secondary;no;yes;no
45;blue-collar;divorced;secondary;no;yes;no
48;blue-collar;married;secondary;no;yes;no
45;blue-collar;married;primary;no;yes;no
34;blue-collar;married;unknown;no;yes;no
34;blue-collar;married;primary;no;yes;no
46;blue-collar;married;secondary;no;yes;no
49;services;divorced;secondary;no;yes;no
50;technician;married;primary;no;yes;no
34;admin.;single;secondary;no;yes;no
40;unemployed;single;secondary;no;yes;no
36;admin.;married;secondary;no;yes;no
59;blue-collar;divorced;unknown;no;yes;no
45;blue-collar;married;secondary;no;yes;no
36;self-employed;married;tertiary;no;yes;no
56;services;married;secondary;no;yes;no
42;services;divorced;secondary;no;yes;yes
30;admin.;married;secondary;no;yes;no
30;student;single;tertiary;no;yes;no
47;self-employed;married;unknown;no;yes;no
33;blue-collar;married;secondary;no;yes;no
36;admin.;married;secondary;no;yes;no
39;services;divorced;primary;no;yes;no
56;admin.;divorced;secondary;no;yes;no
39;blue-collar;divorced;unknown;no;yes;no
42;technician;married;secondary;no;yes;no
52;blue-collar;married;secondary;no;no;no
36;admin.;divorced;secondary;no;yes;no
35;entrepreneur;married;secondary;yes;yes;no
47;technician;married;secondary;no;yes;no
59;services;divorced;secondary;no;yes;yes
57;blue-collar;married;primary;no;yes;yes
38;management;married;unknown;no;yes;no
46;unemployed;married;secondary;no;yes;no
34;blue-collar;married;secondary;no;no;no
28;services;single;secondary;no;yes;no
38;technician;married;unknown;no;yes;no
56;blue-collar;married;secondary;no;yes;no
41;blue-collar;single;primary;yes;yes;yes
52;technician;married;unknown;no;no;no
54;services;married;secondary;no;no;no
61;retired;married;secondary;no;yes;yes
53;entrepreneur;married;secondary;no;no;no
47;technician;married;secondary;no;yes;no
53;blue-collar;married;primary;no;yes;no
46;services;married;secondary;no;yes;no
39;blue-collar;divorced;primary;no;yes;yes
56;technician;divorced;secondary;no;yes;no
55;services;divorced;primary;no;yes;no
44;management;married;tertiary;no;yes;no
37;technician;married;primary;no;yes;no
35;blue-collar;married;primary;no;yes;no
55;blue-collar;married;secondary;no;yes;no
37;services;married;secondary;no;yes;no
30;technician;single;secondary;no;yes;no
37;blue-collar;married;primary;no;yes;yes
36;technician;single;secondary;no;yes;no
38;technician;married;secondary;no;yes;no
41;admin.;divorced;primary;no;yes;no
48;retired;married;secondary;no;no;yes
55;services;divorced;secondary;no;yes;no
28;services;divorced;secondary;no;no;no
54;services;married;secondary;yes;yes;no
30;blue-collar;married;secondary;no;no;no
48;technician;married;tertiary;no;no;no
31;self-employed;married;secondary;no;yes;no
38;blue-collar;married;secondary;no;yes;no
37;blue-collar;married;secondary;no;yes;no
37;services;single;unknown;no;yes;no
56;blue-collar;married;primary;no;yes;yes
51;blue-collar;married;secondary;no;yes;yes
39;blue-collar;married;secondary;no;yes;yes
49;technician;married;unknown;no;no;no
51;blue-collar;married;primary;no;yes;yes
43;self-employed;married;secondary;no;yes;no
32;services;married;secondary;no;yes;yes
29;technician;single;tertiary;no;yes;no
48;management;divorced;tertiary;no;yes;no
55;services;married;primary;no;yes;no
53;blue-collar;married;secondary;no;yes;no
47;technician;married;unknown;no;yes;no
39;management;married;tertiary;no;yes;no
31;blue-collar;single;tertiary;no;yes;yes
39;blue-collar;married;primary;no;yes;no
40;blue-collar;married;primary;no;yes;no
40;technician;single;unknown;no;yes;no
48;technician;married;secondary;no;no;no
33;technician;divorced;secondary;no;yes;yes
40;technician;married;secondary;no;yes;no
59;retired;married;primary;no;yes;no
30;technician;married;secondary;no;yes;no
31;management;single;tertiary;no;yes;no
35;unemployed;married;secondary;no;yes;no
54;technician;divorced;secondary;no;yes;no
34;admin.;single;unknown;no;yes;no
32;technician;married;secondary;no;yes;yes
56;admin.;divorced;unknown;no;yes;no
32;admin.;single;tertiary;no;yes;no
42;blue-collar;married;primary;no;yes;no
33;services;married;tertiary;no;no;no
52;entrepreneur;married;tertiary;no;yes;yes
52;services;married;secondary;no;no;no
52;blue-collar;divorced;primary;yes;yes;no
30;unemployed;divorced;secondary;no;yes;no
44;services;divorced;secondary;no;yes;no
35;admin.;married;secondary;no;yes;yes
55;management;single;secondary;no;yes;no
33;blue-collar;married;primary;no;yes;no
37;blue-collar;single;secondary;no;yes;no
42;technician;single;secondary;no;yes;no
43;unemployed;married;secondary;no;yes;no
38;entrepreneur;married;tertiary;no;yes;no
37;technician;married;secondary;no;yes;yes
31;student;single;secondary;no;yes;no
41;management;married;tertiary;no;yes;no
41;technician;married;secondary;no;yes;yes
29;student;single;secondary;no;yes;no
38;admin.;single;secondary;no;yes;no
44;self-employed;divorced;tertiary;no;yes;no
39;admin.;married;secondary;no;yes;no
28;technician;single;secondary;no;yes;no
33;blue-collar;married;secondary;no;yes;no
41;services;married;unknown;no;no;no
40;blue-collar;married;primary;no;yes;yes
29;admin.;married;secondary;no;yes;no
38;management;married;unknown;no;yes;no
32;admin.;married;tertiary;no;yes;no
45;services;married;secondary;no;yes;no
33;admin.;single;secondary;no;yes;no
34;blue-collar;married;secondary;no;yes;no
41;entrepreneur;married;unknown;no;yes;no
41;blue-collar;married;secondary;no;yes;no
35;admin.;single;secondary;no;yes;no
40;technician;single;secondary;no;yes;no
60;self-employed;married;primary;no;yes;no
47;services;divorced;secondary;no;yes;no
46;blue-collar;married;primary;no;yes;no
31;blue-collar;single;secondary;no;yes;no
49;self-employed;married;secondary;no;yes;no
29;blue-collar;married;secondary;no;yes;no
31;management;single;tertiary;no;yes;no
38;management;married;tertiary;no;yes;no
37;blue-collar;married;primary;no;yes;yes
35;technician;married;secondary;no;yes;no
31;management;single;secondary;no;yes;no
41;admin.;married;secondary;no;yes;no
46;services;married;unknown;no;yes;no
40;services;divorced;secondary;no;yes;no
29;admin.;married;secondary;no;yes;yes
49;admin.;married;secondary;no;yes;no
42;management;married;tertiary;no;yes;no
54;services;married;secondary;no;yes;no
40;management;single;tertiary;no;yes;no
53;admin.;married;secondary;no;yes;yes
49;management;married;tertiary;no;yes;no
40;blue-collar;married;primary;yes;yes;no
29;student;single;secondary;no;yes;no
36;blue-collar;married;primary;no;yes;no
37;technician;married;secondary;no;yes;no
39;services;married;secondary;no;yes;no
36;technician;married;secondary;no;yes;yes
44;entrepreneur;married;tertiary;no;yes;no
40;admin.;married;secondary;no;yes;no
49;blue-collar;married;secondary;no;yes;no
30;technician;single;unknown;no;yes;no
57;management;married;tertiary;no;yes;no
24;services;single;secondary;no;yes;yes
46;blue-collar;married;unknown;no;yes;no
33;admin.;married;secondary;no;no;no
43;services;divorced;secondary;no;yes;no
43;admin.;single;secondary;no;yes;no
40;blue-collar;divorced;primary;no;no;no
44;technician;single;unknown;no;yes;no
35;technician;single;tertiary;no;yes;yes
47;technician;married;secondary;no;yes;no
33;blue-collar;married;secondary;no;yes;no
31;admin.;married;secondary;no;yes;yes
40;blue-collar;divorced;secondary;no;yes;no
36;entrepreneur;married;tertiary;no;yes;no
56;retired;divorced;primary;no;yes;no
40;admin.;single;unknown;no;yes;no
41;admin.;divorced;secondary;no;yes;no
53;retired;married;secondary;no;yes;no
39;blue-collar;married;secondary;no;yes;no
44;blue-collar;divorced;secondary;no;yes;no
38;admin.;married;secondary;no;yes;no
54;technician;divorced;secondary;no;yes;no
58;management;married;tertiary;no;yes;no
52;blue-collar;married;primary;no;yes;no
